shot_number,prep_duration,shot_duration,release_angle,max_hand_speed,avg_elbow_angle,std_elbow_angle,release_height,motion_smoothness,trial_number,motion_smoothness_seq,movement_coordination,peak_velocity,velocity_consistency
94,0.04248366013071897,0.025735294117647054,0.02022058823529412,0.10294117647058824,0.06801470588235295,0.0451388888888889,0.3114787581699347,0.04411764705882354,0.014705882352941178,0.0698529411764706,0.17258986928104578,0.06801470588235295,0.014705882352941178
95,0.03544776119402985,0.027155887230514094,0.05037313432835821,0.13432835820895522,0.07815091210613598,0.053067993366500824,0.2699004975124378,0.0,0.029850746268656716,0.04664179104477612,0.08395522388059702,0.1314262023217247,0.05970149253731343
96,0.07042253521126762,0.11267605633802819,0.05633802816901409,0.08450704225352114,0.08450704225352114,0.028169014084507046,0.15492957746478875,0.05633802816901409,0.04225352112676057,0.11267605633802819,0.028169014084507046,0.09859154929577466,0.07042253521126762
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.15151515151515152,0.10606060606060606,0.030303030303030304,0.06313131313131312,0.030303030303030304,0.030303030303030304,0.21212121212121213,0.0,0.045454545454545456,0.045454545454545456,0.10606060606060606,0.10353535353535355,0.07575757575757576
99,0.140625,0.125,0.046875,0.021484374999999997,0.015625,0.03125,0.21875,0.015625,0.03125,0.021484374999999997,0.134765625,0.150390625,0.046875
100,0.03594771241830066,0.14705882352941177,0.03758169934640523,0.08272058823529412,0.04411764705882353,0.08823529411764706,0.09272875816993464,0.11213235294117647,0.03594771241830066,0.04044117647058823,0.18566176470588236,0.07352941176470588,0.02389705882352941
101,0.06529850746268656,0.1044776119402985,0.05970149253731343,0.029850746268656716,0.07151741293532338,0.08395522388059702,0.1316334991708126,0.02052238805970149,0.06529850746268656,0.005597014925373132,0.19527363184079602,0.12769485903814262,0.03917910447761194
102,0.0868544600938967,0.08450704225352113,0.022887323943661973,0.014084507042253521,0.1267605633802817,0.1267605633802817,0.06455399061032864,0.056338028169014086,0.09859154929577464,0.04753521126760563,0.12147887323943662,0.12147887323943662,0.028169014084507043
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.13636363636363635,0.09090909090909091,0.030303030303030304,0.10606060606060606,0.015151515151515152,0.10606060606060606,0.15151515151515152,0.07575757575757576,0.045454545454545456,0.0,0.10606060606060606,0.07575757575757576,0.06060606060606061
108,0.109375,0.078125,0.046875,0.0625,0.015625,0.15625,0.15625,0.046875,0.03125,0.0,0.125,0.109375,0.0625
109,0.11764705882352942,0.10294117647058824,0.014705882352941178,0.08823529411764708,0.05882352941176471,0.11764705882352942,0.1911764705882353,0.0735294117647059,0.014705882352941178,0.0,0.13235294117647062,0.029411764705882356,0.05882352941176471
110,0.13432835820895525,0.10447761194029852,0.04477611940298508,0.0746268656716418,0.05970149253731344,0.10447761194029852,0.13432835820895525,0.08955223880597016,0.02985074626865672,0.01492537313432836,0.10447761194029852,0.0746268656716418,0.02985074626865672
111,0.04654255319148936,0.0598404255319149,0.0851063829787234,0.0851063829787234,0.03368794326241135,0.09574468085106383,0.1897163120567376,0.09574468085106383,0.0425531914893617,0.031914893617021274,0.10638297872340426,0.09574468085106383,0.031914893617021274
112,0.06743827160493827,0.06666666666666667,0.07777777777777778,0.14444444444444443,0.04367283950617284,0.12839506172839507,0.0896604938271605,0.022222222222222223,0.10123456790123456,0.03132716049382716,0.0896604938271605,0.08888888888888889,0.04861111111111111
113,0.04243827160493827,0.022222222222222223,0.13333333333333333,0.15555555555555556,0.04027777777777778,0.13950617283950617,0.10694444444444444,0.1111111111111111,0.022222222222222223,0.03333333333333333,0.02638888888888889,0.1,0.06666666666666667
114,0.06332138590203108,0.04301075268817205,0.059737156511350066,0.12903225806451615,0.16129032258064518,0.09752090800477899,0.09677419354838711,0.10274790919952212,0.04301075268817205,0.04301075268817205,0.05779569892473119,0.07526881720430109,0.027479091995221028
115,0.06394993894993896,0.02197802197802198,0.054945054945054944,0.08791208791208792,0.15384615384615385,0.06105006105006105,0.08180708180708181,0.13873626373626374,0.06593406593406594,0.05982905982905983,0.07692307692307693,0.10012210012210011,0.03296703296703297
116,0.046542553191489366,0.14893617021276598,0.047281323877068564,0.15558510638297876,0.0549645390070922,0.10017730496453901,0.1060874704491726,0.11229314420803783,0.04255319148936171,0.010638297872340427,0.052009456264775426,0.09101654846335698,0.03191489361702128
117,0.109375,0.03125,0.03125,0.078125,0.0625,0.140625,0.15625,0.0625,0.03125,0.078125,0.125,0.09375,0.0
118,0.04938271604938273,0.04444444444444445,0.04861111111111112,0.11111111111111112,0.11728395061728396,0.11111111111111112,0.19506172839506178,0.0271604938271605,0.05555555555555556,0.07777777777777779,0.05555555555555556,0.06250000000000001,0.04444444444444445
119,0.06394993894993896,0.030982905982905984,0.0989010989010989,0.0989010989010989,0.03907203907203907,0.07081807081807082,0.1936813186813187,0.04395604395604396,0.03296703296703297,0.07692307692307693,0.07280219780219781,0.115995115995116,0.06105006105006105
120,0.10790598290598291,0.10454822954822955,0.07799145299145299,0.03296703296703297,0.12164224664224664,0.09706959706959706,0.11965811965811966,0.021214896214896212,0.03983516483516483,0.05708180708180709,0.10775335775335777,0.05982905982905983,0.052503052503052504
121,0.0866910866910867,0.01098901098901099,0.05616605616605616,0.08180708180708181,0.021214896214896212,0.08257020757020757,0.14163614163614163,0.06883394383394384,0.037851037851037855,0.15705128205128205,0.15995115995115994,0.05616605616605616,0.03907203907203907
122,0.07777777777777779,0.04938271604938273,0.011111111111111113,0.08395061728395063,0.14444444444444446,0.1283950617283951,0.16666666666666669,0.0271604938271605,0.03333333333333334,0.10000000000000002,0.10000000000000002,0.03333333333333334,0.04444444444444445
